name,latitude,longitude
BRUNOS ON THE BOULEVARD 88-25 ASTORIA BOULEVARD New York NY 11369,40.7643124,-73.8803827
WILD ASIA 2300 SOUTHERN BOULEVARD New York NY 10460,40.8502883,-73.8786113
P & S DELI GROCERY 730 COLUMBUS AVENUE New York NY 10025,40.7925587,-73.9680572
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET New York NY 10012,40.7250632,-73.9976946
SHASHEMENE INT'L RESTAURA 195 EAST 56 STREET New York NY 11203,40.6515882,-73.9330429
CARVEL ICE CREAM 1006 EAST 233 STREET New York NY 10466,40.8887394,-73.8477874
LEXLER DELI 405 LEXINGTON AVENUE New York NY 10174,40.7516269,-73.97535
SNACK TIME GRILL 87-69 LEFFERTS BOULEVARD New York NY 11418,40.7001121,-73.8309503
MITCHEL LONDON FOODS 22 EAST 65 STREET New York NY 10065,40.7645239,-73.9624327
SPOON BREAD CATERING 364 WEST 110 STREET New York NY 10025,40.7999209,-73.9683102
TERMINAL CAFE/YANKEE CLIPPER 0 GUARDIA AIRPORT PARKING New York NY 11371,40.7766392,-73.87425
PLAZA BAGELS & DELI 73 NEW DORP PLAZA New York NY 10306,40.5734023,-74.1177623
B & M HOT BAGEL & GROCERY 203 GIFFORDS LANE New York NY 10308,40.5564316,-74.1523097
TEXAS ROTISSERIE 94 FULTON STREET New York NY 10038,40.7092038,-74.0061936
MANHEM CLUB 658 CLARENCE AVE New York NY 10465,40.829411,-73.81364
OLD TOWN BAR & RESTAURANT 45 EAST 18 STREET New York NY 10003,40.7322535,-73.9874105
BEN-BEST DELI & RESTAURANT 96-40 QUEENS BOULEVARD New York NY 11374,40.7295323,-73.8613499
DONOHUE'S STEAK HOUSE 845 LEXINGTON AVENUE New York NY 10065,40.765431,-73.965531
DINING ROOM . ALLEN TRIPO New York NY 10075,40.7728432,-73.9558204
NEW PARK PIZZERIA & RESTAURANT 156-71 CROSSBAY BOULEVARD New York NY 11414,40.7048296,-73.8160989
MELODY LANES 461 37 STREET New York NY 11232,40.6527418,-74.0028771
SHELL LANES 1 BOUCK COURT New York NY 11223,40.5888453,-73.9735108
SOUTH SHORE SWIMMING CLUB 6736 HYLAN BOULEVARD New York NY 10309,40.507255,-74.22679
MAY MAY KITCHEN 1269 SUTTER AVENUE New York NY 11208,40.6731108,-73.8711024
STEVE CHU'S DELI & GROCERY 3406 10 STREET New York NY 11106,40.7595044,-73.9271644
COMO PIZZA 4035 BROADWAY New York NY 10032,40.8422945,-73.9395182
ANGELO OF MULBERRY ST. 146 MULBERRY STREET New York NY 10013,40.7188698,-73.9973041
PANCHITO'S 103 MACDOUGAL STREET New York NY 10012,40.729795,-74.001043
SPAIN RESTAURANT & BAR 113 WEST 13 STREET New York NY 10011,40.7464969,-74.0094471
PALACE CAFE 206 NASSAU AVENUE New York NY 11222,40.7253944,-73.9446421
KING YUM RESTAURANT 181-08 UNION TURNPIKE New York NY 11366,40.7271349,-73.786481
J&V FAMOUS PIZZA 6322 18 AVENUE New York NY 11204,40.6195067,-73.9859414
GARGIULO'S RESTAURANT 2911 WEST 15 STREET New York NY 11224,40.5749261,-73.9859414
PATSY'S ITALIAN RESTAURANT 236 WEST 56 STREET New York NY 10019,40.7686973,-73.9918181
MCDWYERS PUB 331 EAST 204 STREET New York NY 10467,40.8723987,-73.8713099
BLARNEY BAR 146-09 JAMAICA AVENUE New York NY 11435,40.702028,-73.808593
